10059,Alejandro McAlpine,63,71218,15,Creative,128217
10073,Shir McClurg,62,56473,10,Integration,1.20857e+06
12010,Sergio Ravarez,55,64000,14,Product Support,505467
12016,Benjamin Horne,44,137444,6,Business Developement,200000
12016,Benjamin Horne,44,137444,8,Sales,1.2726e+06
12020,Antonio Lavante,34,36000,9,Quality Assurance,1.1542e+06
12021,Nick Cave,78,117402,2,Human Resources,1.1744e+06
110388,Audrey Horne,27,122402,12,Marketing,1.20852e+06
110503,Frank Frink,34,132402,5,Customer Service,1.30852e+06
110517,Dale Gribble,67,137402,1,Software,1.43912e+06
110519,Stephen Malkmus,43,132204,3,Research,1.54465e+06
111400,Arie Staelin,57,72446,4,Hardware,4.2915e+06
111692,Tonny Butterworth,62,40000,13,IT Support,305531
120302,Shelly Johnson,43,197402,11,Office Management,153202
403353,Shigehito Kropatsch,52,59783,7,Product Management,1.20852e+06
